Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 8.00000 0.0900000036 1.0816895926    0.090 -2.753  3.4028  4.709    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.652 13.696 16.470 12.220
0.01471 0.00000 8.00000 0.0928532481 1.1084724514    0.093 -2.730  3.4060  4.712    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.42e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.595 13.639 16.414 12.163
0.01471 0.00000 8.00000 0.1000000015 1.1711064122    0.100 -2.673  3.4142  4.720    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.452 13.495 16.272 12.019
0.01471 0.00000 8.00000 0.1005477011 1.1756653093    0.101 -2.669  3.4147  4.720    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.442 13.486 16.262 12.009
0.01471 0.00000 8.00000 0.1111151651 1.2577706683    0.111 -2.595  3.4243  4.728    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.2e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.257 13.199 15.847 11.746
0.01471 0.00000 8.00000 0.1200000048 1.3193154741    0.120 -2.536  3.4325  4.735    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 11.110 12.935 15.436 11.509
0.01471 0.00000 8.00000 0.1392779052 1.4345447383    0.139 -2.434  3.4443  4.745    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.32e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.855 12.529 14.846 11.138
0.01471 0.00000 8.00000 0.1400000006 1.4384526719    0.140 -2.431  3.4447  4.745    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.846 12.515 14.826 11.125
0.01471 0.00000 8.00000 0.1402355582 1.4397218299    0.140 -2.429  3.4448  4.745    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.36e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.843 12.510 14.819 11.121
0.01471 0.00000 8.00000 0.1599999964 1.5372931554    0.160 -2.336  3.4557  4.753    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.16e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.611 12.140 14.278 10.787
0.01471 0.00000 8.00000 0.1994030327 1.6918499220    0.199 -2.186  3.4723  4.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.7e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.235 11.573 13.472 10.273
0.01471 0.00000 8.00000 0.2000000030 1.6938790862    0.200 -2.184  3.4725  4.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.72e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.230 11.566 13.461 10.266
0.01471 0.00000 8.00000 0.2154091895 1.7436823130    0.215 -2.134  3.4776  4.768    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.32e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.105 11.385 13.212 10.103
0.01471 0.00000 8.00000 0.2500000000 1.8403257998    0.250 -2.033  3.4880  4.773    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.68e-16      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.853 11.020 12.706 9.774
0.01471 0.00000 8.00000 0.2828295529 1.9171896136    0.283 -1.949  3.4958  4.774    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.642 10.736 12.335 9.515
0.01471 0.00000 8.00000 0.3000000119 1.9529139769    0.300 -1.908  3.4995  4.773    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.541 10.602 12.161 9.392
0.01471 0.00000 8.00000 0.3500000238 2.0434175133    0.350 -1.794  3.5098  4.767    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.254 10.230 11.692 9.051
