Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00049103 -1.50000 10.00000 0.0900000036 1.0816895926    0.090 -3.185  3.4747  5.428    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.3e-17      0.00 7.485e-01 2.510e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.732 13.622 15.515 12.354
0.00049103 -1.50000 10.00000 0.0962926000 1.1393690776    0.096 -2.999  3.5012  5.377    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.33e-17      0.00 7.475e-01 2.520e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.267 13.014 14.503 11.845
0.00049103 -1.50000 10.00000 0.1000000015 1.1711064122    0.100 -2.895  3.5160  5.349    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-16      0.00 7.469e-01 2.526e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.007 12.675 13.992 11.560
0.00049103 -1.50000 10.00000 0.1199999973 1.3193154249    0.120 -2.609  3.5472  5.267    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-16      0.00 7.447e-01 2.548e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 11.293 11.799 12.855 10.786
0.00049103 -1.50000 10.00000 0.1400000006 1.4384526719    0.140 -2.428  3.5625  5.214    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-16      0.00 7.431e-01 2.564e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.841 11.274 12.234 10.307
0.00049103 -1.50000 10.00000 0.1599999964 1.5372931554    0.160 -2.288  3.5727  5.173    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.2e-16      0.00 7.418e-01 2.577e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.489 10.878 11.783 9.939
0.00049103 -1.50000 10.00000 0.2000000179 1.6938791367    0.200 -2.068  3.5860  5.103    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.75e-16      0.00 7.406e-01 2.589e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 9.940 10.276 11.116 9.372
0.00049103 -1.50000 10.00000 0.2500000000 1.8403257998    0.250 -1.863  3.5971  5.039    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-15      0.00 7.405e-01 2.590e-01 8.883e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.427 9.723 10.514 8.848
0.00049103 -1.50000 10.00000 0.3000000417 1.9529140366    0.300 -1.706  3.6057  4.996    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.406e-01 2.589e-01 8.882e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.035 9.302 10.057 8.449
0.00049103 -1.50000 10.00000 0.3168833256 1.9855392854    0.317 -1.661  3.6083  4.985    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-15      0.00 7.406e-01 2.589e-01 8.881e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.924 9.181 9.926 8.334
0.00049103 -1.50000 10.00000 0.3499999940 2.0434174644    0.350 -1.580  3.6130  4.966    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-15      0.00 7.407e-01 2.588e-01 8.879e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.719 8.962 9.688 8.126
0.00049103 -1.50000 10.00000 0.4000000060 2.1185024399    0.400 -1.439  3.6240  4.927    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.49e-15      0.00 7.503e-01 2.492e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.368 8.575 9.259 7.767
0.00049103 -1.50000 10.00000 0.4500000179 2.1822809362    0.450 -1.268  3.6423  4.880    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.67e-15      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 7.939 8.090 8.707 7.330
0.00049103 -1.50000 10.00000 0.5000000000 2.2374541529    0.500 -1.076  3.6676  4.835    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.7e-15      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 7.460 7.538 8.070 6.842
0.00049103 -1.50000 10.00000 0.5500000715 2.2836583126    0.550 -0.870  3.6921  4.769    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -9.43e-15      0.00 7.792e-01 2.203e-01 7.924e-05 2.139e-05 1.940e-04 -1.000 4.904e-04 6.945 6.964 7.425 6.328
0.00049103 -1.50000 10.00000 0.6000000238 2.3211213258    0.600 -0.670  3.7185  4.712    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-14      0.00 7.883e-01 2.112e-01 7.634e-05 2.061e-05 1.871e-04 -1.000 4.705e-04 6.446 6.423 6.822 5.843
